                                                      Productions          |   lt                                                                      |   program                                                                 |   float                                                                   |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   neq                                                                     |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   eq                                                                      |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   for                                                                     |   not                                                                     |   geq                                                                     |   and                                                                     |   get                                                                     |   [                                                                       |   class                                                                   |   ]                                                                       |   sr                                                                      |   or                                                                      |   intNum                                                                  |   gt                                                                      |   int                                                                     |   {                                                                       |   }                                                                       |   return                                                                  |
                                                fParamsTailRepeat          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParamsTailRepeat => [EPSILON]                                          |                                                                           |                                                                           |                                                                           |   fParamsTailRepeat => [fParamsTail, fParamsTailRepeat]                   |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                  classDeclOption          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   classDeclOption => [:, id, classDeclOptionRepeat]                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   classDeclOption => [EPSILON]                                            |                                                                           |                                                                           |

                                                        statement          |                                                                           |                                                                           |                                                                           |   statement => [put, (, expr, ), ;]                                       |                                                                           |                                                                           |                                                                           |   statement => [assignStat, ;]                                            |                                                                           |   statement => [if, (, expr, ), then, statBlock, else, statBlock, ;]          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statement => [assignStat, ;]                                            |                                                                           |   statement => [for, (, type, id, assignOp, expr, ;, relExpr, ;, assignStat, ), statBlock, ;]          |                                                                           |                                                                           |                                                                           |   statement => [get, (, idnestRepeat, variable, ), ;]                     |   statement => [assignStat, ;]                                            |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statement => [return, (, expr, ), ;]                                    |

                                                             expr          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   expr => [relExpr]                                                       |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                             term          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   term => [factor, termMod]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   term => [factor, termMod]                                               |                                                                           |                                                                           |   term => [factor, termMod]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   term => [factor, termMod]                                               |                                                                           |   term => [factor, termMod]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   term => [factor, termMod]                                               |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

